"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Charades",1998,94,-1,4.1,62,14.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,34.5,"R",0,0,0,1,0,0,0
"Charlie",2004,94,5e+06,5,141,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Charlie's Angels",2000,94,9.2e+07,5.8,25705,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Charlie's Angels: Full Throttle",2003,107,1.2e+08,5,13990,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Charlotte Gray",2001,121,-1,6.3,1832,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Charlotte Sometimes",2002,85,80000,4.6,555,24.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,"R",0,0,0,1,0,0,0
"Charly",2002,103,950000,5.5,149,4.5,4.5,4.5,0,4.5,4.5,14.5,14.5,14.5,44.5,"PG",0,0,1,1,0,1,0
"Chasing Amy",1997,111,250000,7.6,32141,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,1,1,0,1,0
"Chasing Destiny",2001,91,-1,4.9,72,4.5,0,4.5,14.5,14.5,14.5,14.5,4.5,4.5,24.5,"PG-13",0,0,1,1,0,1,0
"Chasing Holden",2001,101,-1,5,136,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Chasing Liberty",2004,111,2.3e+07,5.7,1911,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"Chasing Papi",2003,81,-1,4.2,598,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Chasing Sleep",2000,104,-1,6.4,496,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Cheaper by the Dozen",2003,98,4e+07,5.8,5977,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"PG",0,0,1,1,0,0,0
"Cheats",2002,90,-1,5.9,783,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"Cheerleader Ninjas",2002,96,-1,3.1,151,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Chek law dak gung",2002,90,-1,5.4,651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,0,0,0,1,0
"Chelsea Walls",2001,109,-1,4.3,600,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Cheng shi lie ren",1993,105,-1,6.2,919,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",1,0,1,0,0,1,0
"Cherish",2002,99,1500000,6.5,743,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Cherry",1999,90,-1,5.2,139,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Cherry Falls",2000,92,1.4e+07,4.9,2165,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Chicago",2002,113,4.5e+07,7.5,34933,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG-13",0,0,1,1,0,0,0
"Chicago Cab",1998,96,-1,6.4,586,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Chik yeung tin sai",2002,106,-1,6.8,1059,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,1,0,0,1,0
"Chiklo gouyeung",1992,89,-1,6,424,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Children On Their Birthdays",2002,102,1e+07,6,163,24.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG",0,0,0,1,0,0,0
"Children of the Corn III",1995,92,-1,3.3,678,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Children of the Living Dead",2001,90,-1,2.1,385,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Children of the Revolution",1996,101,-1,6.3,786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,"R",0,0,1,1,0,0,0
"Chill Factor",1999,101,3.4e+07,5,2542,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Chillicothe",1999,90,-1,7.1,96,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,1,0
"Chin gei bin",2003,102,-1,5.8,562,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Chinese Box",1997,99,-1,6,917,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Chinese Coffee",2000,99,-1,6.9,61,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,45.5,"R",0,0,0,1,0,0,0
"Chocolat",2000,121,-1,7.3,20031,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0
"Choke",2000,89,-1,3.2,95,24.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,0,4.5,"R",0,0,0,0,0,0,0
"Chong qing sen lin",1994,102,-1,7.7,4814,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"PG-13",0,0,0,1,0,1,0
"Chooch",2003,81,-1,4,9,0,0,14.5,34.5,14.5,0,0,14.5,24.5,14.5,"R",0,0,1,0,0,1,0
"Chopin. Pragnienie milosci",2002,134,3500000,4,55,4.5,14.5,4.5,14.5,4.5,14.5,14.5,4.5,0,14.5,"R",0,0,0,1,0,1,0
"Chopper",2001,3,-1,6.4,58,4.5,4.5,0,0,4.5,14.5,4.5,34.5,4.5,24.5,"R",0,0,0,0,0,0,1
"Choristes, Les",2004,96,-1,7.7,2374,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"PG-13",0,0,0,1,0,1,0
"Christina's House",1999,96,-1,4,481,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Christmas Carol, A",1997,72,-1,4.5,86,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG",0,1,0,1,0,0,0
"Christmas Carol: The Movie",2001,81,-1,4.9,95,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,24.5,"PG",0,1,0,0,0,0,0
"Christmas with the Kranks",2004,98,6e+07,4.5,1520,14.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG",0,0,1,0,0,0,0
"Chrome and Hot Leather",1971,91,-1,4.5,48,4.5,14.5,14.5,4.5,14.5,4.5,14.5,0,4.5,24.5,"PG-13",1,0,0,1,0,0,0
"Chronicles of Riddick, The",2004,135,1.1e+08,6.2,11438,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Chrystal",2004,106,-1,3.8,169,4.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,34.5,"R",0,0,0,1,0,0,0
"Chuck&Buck",2000,96,250000,6.6,1919,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Chuen jik sat sau",2001,102,-1,6.8,1234,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,0,0,0,0
"Chump Change",2004,87,-1,5,139,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,"R",0,0,1,0,0,1,0
"Chunhyang",2000,120,-1,7.5,507,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Ciao America",2002,100,5e+06,4.8,27,14.5,4.5,0,4.5,14.5,4.5,0,4.5,14.5,44.5,"R",0,0,1,1,0,1,0
"Cible, La",1997,95,-1,6.9,21,4.5,4.5,4.5,4.5,4.5,14.5,4.5,34.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Cidade de Deus",2002,135,3300000,8.7,25964,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0
"Cider House Rules, The",1999,126,2.4e+07,7.5,18950,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0
"Cilantro y perejil",1995,90,-1,6.5,106,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"PG-13",0,0,1,0,0,1,0
"Cinderella Story, A",2004,95,2e+07,4.9,2755,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"PG",0,0,1,0,0,1,0
"Circle of Friends",1995,103,-1,6.6,2499,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"Circuit, The",2002,91,-1,2.8,71,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Circus",2000,95,-1,5.6,728,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Citizen Toxie: The Toxic Avenger IV",2000,99,-1,6.5,531,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,34.5,"R",1,0,1,0,0,0,0
"Citizen Verdict",2003,97,1e+07,4.8,58,14.5,0,4.5,24.5,14.5,4.5,4.5,4.5,14.5,14.5,"R",0,0,0,0,0,0,0
"City Hall",1996,111,4e+07,6.1,4381,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"City by the Sea",2002,108,6e+07,6.3,4886,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"City of Angels",1998,114,5.5e+07,6.2,15333,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"City of Ghosts",2002,116,17500000,5.6,877,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"City of the Dead, The",1960,76,-1,6.5,419,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,0,0,0,0,0
"Civil Action, A",1998,112,6e+07,6.4,6847,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Civil Brand",2002,95,5e+05,4.1,102,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Claim, The",2000,115,-1,6.5,1710,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,1,0
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid",1994,102,-1,3.7,88,24.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Claudine's Return",1998,91,2e+06,3.8,80,24.5,14.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0
"Claustrophobia",2003,79,114000,4.2,90,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,"R",0,0,1,0,0,0,0
"Clay Pigeons",1998,104,8e+06,6.4,2658,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Clean and Narrow",1999,85,-1,4.1,45,4.5,14.5,4.5,4.5,14.5,24.5,14.5,4.5,0,4.5,"R",0,0,0,1,0,0,0
"Clerks.",1994,92,230000,7.9,39927,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"R",0,0,1,1,0,0,0
"Click: The Body Beautiful",2000,91,-1,2.5,41,24.5,4.5,14.5,4.5,4.5,24.5,4.5,4.5,0,4.5,"R",0,0,1,0,0,0,0
"Climb, The",1998,98,-1,6.7,139,4.5,4.5,4.5,0,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Climb, The",2002,98,2500000,5.2,83,4.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,4.5,24.5,"PG",1,0,0,1,0,0,0
"Clockers",1995,129,2.5e+07,6.8,3099,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Clockstoppers",2002,94,2.6e+07,5.1,2555,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"Clockwatchers",1997,96,-1,6.4,1786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Close Enough to Touch",2002,87,-1,3.7,39,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Close Up",1996,84,-1,6.7,10,34.5,14.5,0,0,14.5,0,24.5,14.5,0,24.5,"R",0,0,0,0,0,0,0
"Closer You Get, The",2000,90,-1,6.2,441,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Clown at Midnight, The",1998,91,-1,4.2,235,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Club Dread",2004,119,9e+06,5.2,3432,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Club V.R.",1996,93,-1,3.5,25,14.5,4.5,14.5,4.5,14.5,24.5,0,4.5,0,14.5,"R",0,0,0,0,0,0,0
"Club Vampire",1998,76,-1,1.8,84,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,0,4.5,"R",0,0,0,0,0,0,0
"Club Wild Side",1998,101,-1,4.9,44,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,14.5,14.5,"R",0,0,0,1,0,1,0
