"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Active Stealth",1999,99,-1,3,146,34.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Actors, The",2003,91,-1,5.6,211,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Acts of Worship",2001,94,-1,6.2,43,4.5,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,0,1,0,0,0
"Adam & Evil",2004,90,-1,3.4,81,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,0,14.5,"R",0,0,0,0,0,0,0
"Adam at 6 A.M.",1970,100,-1,5.8,61,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Adaptation.",2002,114,1.9e+07,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Addicted to Love",1997,100,-1,6,5445,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Address Unknown",1997,92,-1,4.9,80,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG",0,0,0,0,0,0,0
"Adrenalin: Fear the Rush",1996,88,-1,3.5,664,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Adventures of Pluto Nash, The",2002,95,1e+08,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",1,0,0,0,0,1,0
"Adventures of Rocky & Bullwinkle, The",2000,88,7.6e+07,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,1,1,0,0,0,0
"Adventures of Sebastian Cole, The",1998,99,-1,6.5,579,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Affair of the Necklace, The",2001,118,-1,6,963,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Affliction",1997,114,6e+06,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"After Alice",1999,100,-1,5.3,446,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"After Image",2001,92,1200000,3.9,60,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"After the Sunset",2004,97,5.8e+07,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Afterglow",1997,113,-1,6.1,1169,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Against the Ropes",2004,111,-1,5.2,1058,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Agent Cody Banks",2003,102,2.6e+07,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agent Cody Banks 2: Destination London",2004,100,2.6e+07,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agnes Browne",1999,92,-1,6,572,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Agronomist, The",2003,90,-1,7.3,146,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG-13",0,0,0,0,1,0,0
"Ai no borei",1978,104,-1,6.3,230,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Aileen Wuornos: The Selling of a Serial Killer",1992,87,-1,7,180,4.5,0,0,4.5,4.5,14.5,34.5,14.5,14.5,4.5,"R",0,0,0,0,1,0,0
"Aileen: Life and Death of a Serial Killer",2003,89,-1,7.2,430,4.5,0,4.5,4.5,4.5,14.5,34.5,34.5,4.5,4.5,"R",0,0,0,0,1,0,0
"Air Bud",1997,98,3e+06,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Air Force One",1997,124,8.5e+07,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Air Marshal",2003,90,5e+05,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"Airheads",1994,92,-1,5.5,6105,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Airspeed",1998,93,-1,3,386,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG",1,0,0,1,0,0,0
"Akira",1988,124,-1,7.7,14840,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,1,0,1,0,0,0
"Alamo, The",2004,137,9.5e+07,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,1e+07,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Alaska",1996,109,-1,5.6,891,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,14.5,"PG",0,0,0,0,0,0,0
"Albino Alligator",1996,97,5e+06,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alex & Emma",2003,96,-1,5.3,2176,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Alex in Wonder",2001,96,-1,6.3,30,4.5,0,4.5,4.5,14.5,24.5,24.5,24.5,0,14.5,"R",0,0,0,1,0,0,0
"Alexander",2004,175,1.5e+08,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0
"Alfie",2004,103,6e+07,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Ali",2001,165,1.07e+08,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Ali G Indahouse",2002,88,-1,5.8,4496,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Alice et Martin",1998,124,-1,6.4,604,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alien",1979,116,1.1e+07,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,0,0,0,0
"Alien Abduction",2005,90,6e+05,1.9,73,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Alien Escape",1997,85,1e+06,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,"R",0,0,0,0,0,0,0
"Alien Hunter",2003,92,-1,5,563,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Alien: Resurrection",1997,116,7e+07,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Aliens",1986,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,0,0,0,0,0,0
"Aliens in the Wild Wild West",1999,90,-1,2.9,58,34.5,14.5,14.5,14.5,4.5,4.5,4.5,0,0,4.5,"PG",1,0,0,0,0,0,0
"Alive",2004,85,-1,3.9,32,24.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,0,4.5,"R",0,0,1,1,0,0,0
"All About You",2001,100,-1,6.2,30,4.5,0,0,0,4.5,4.5,4.5,34.5,4.5,44.5,"PG",0,0,1,1,0,1,0
"All About the Benjamins",2002,95,1.4e+07,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"All Babes Want to Kill Me",2004,82,-1,8.1,47,4.5,4.5,0,0,0,0,4.5,4.5,34.5,45.5,"PG-13",0,0,0,0,0,0,0
"All Forgotten",2000,106,-1,4.5,139,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"All New Adventures of Laurel & Hardy: For Love or Mummy, The",1999,85,-1,3.1,112,34.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"All Night Bodega",2002,90,-1,5.7,24,4.5,4.5,0,4.5,4.5,24.5,14.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"All Over Me",1997,90,-1,6.9,600,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"All Over the Guy",2001,95,-1,6.4,1039,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,1,0,0,1,0
"All the Little Animals",1998,112,-1,6.6,289,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"All the Pretty Horses",2000,116,4.5e+07,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"All the Queen's Men",2001,105,2.5e+07,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0
"All the Rage",1999,99,-1,5.7,670,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"All the Real Girls",2003,108,1e+06,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Allyson Is Watching",1997,90,-1,4.7,105,4.5,14.5,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Almost Famous",2000,162,6e+07,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Almost Heroes",1998,90,-1,4.5,1944,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Almost Salinas",2001,92,-1,6.4,81,4.5,4.5,0,4.5,14.5,14.5,14.5,24.5,14.5,14.5,"PG",0,0,1,1,0,0,0
"Alone",2002,110,-1,4.6,232,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Alone in the Dark",2005,96,2e+07,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Alone in the Woods",1996,92,-1,3.6,48,14.5,24.5,14.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Alone with a Stranger",2000,90,-1,5.3,60,4.5,4.5,4.5,4.5,24.5,14.5,4.5,14.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Along Came Polly",2004,90,4.2e+07,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Along Came a Spider",2001,104,2.8e+07,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Altered Species",2001,91,-1,2.7,80,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Amadeus",1984,180,1.8e+07,8.3,36955,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",0,0,0,1,0,0,0
"Amandla! A Revolution In Four Part Harmony",2002,108,-1,7.3,162,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"PG-13",0,0,0,0,1,0,0
"Amant, L'",1992,111,-1,6.5,2046,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Amants du Pont-Neuf, Les",1991,125,-1,7.4,1564,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Amar te duele",2002,104,-1,7.1,102,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Amati Girls, The",2000,91,-1,3.4,161,14.5,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,0,1,0,0,0
"Amazing Panda Adventure, The",1995,81,-1,5.5,304,4.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,0,1,0,0,0
"Amazons and Gladiators",2001,89,-1,4,233,24.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,1,0,0,0
"America's Sweethearts",2001,102,4.8e+07,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"American Adobo",2001,104,-1,4.3,78,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"American Beauty",1999,121,1.5e+07,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,0,0
"American Chai",2001,92,-1,6.1,148,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,"R",0,0,1,1,0,0,0
"American Dragons",1998,91,-1,4.3,173,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"American Gun",2002,89,-1,6,267,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"American History X",1998,119,1e+07,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"American Movie: The Making of Northwestern",1999,107,-1,7.5,3421,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,0,1,0,0
"American Outlaws",2001,94,3.5e+07,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,1,0,0,0,0
"American Perfekt",1997,100,-1,5.9,433,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"American Pie",1999,95,1.1e+07,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"American Pie 2",2001,105,3e+07,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"American President, The",1995,114,6.2e+07,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0
"American Psycho",2000,102,8e+06,6.8,21639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"American Rhapsody, An",2001,106,-1,7,732,14.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"American Splendor",2003,101,-1,7.8,8530,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,1,1,0,0,0
"American Strays",1996,97,-1,5.2,238,4.5,4.5,14.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",1,0,1,0,0,0,0
"American Vampire Story, An",1997,99,-1,2.1,149,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"American Virgin",2000,88,-1,3.7,506,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"American Wedding",2003,103,5.5e+07,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"American Werewolf in Paris, An",1997,105,2.2e+07,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Amistad",1997,152,4e+07,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Amityville Horror, The",2005,90,1.8e+07,5.8,2945,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Among Giants",1998,93,-1,5.4,334,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Amores perros",2000,153,2e+06,8.2,15079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Amy",1998,104,-1,7,252,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG-13",0,0,1,1,0,0,0
"Amy's Orgasm",2001,87,-1,5.3,519,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,1,0,0,1,0
"Anacondas: The Hunt for the Blood Orchid",2004,97,2.5e+07,4.2,2258,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"Analyze That",2002,96,-1,5.5,6863,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Analyze This",1999,109,3e+07,6.6,24521,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Anarchist Cookbook, The",2002,101,-1,5.5,318,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,1,0,1,0
"Anarchy TV",1998,87,-1,4.7,84,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Anatomie",2000,103,-1,6.1,2501,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Anatomie 2",2003,101,-1,5.5,582,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Anazahevun",2000,132,-1,6.1,211,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Anchorman: The Legend of Ron Burgundy",2004,104,2.6e+07,6.5,11553,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Ancient Evil: Scream of the Mummy",2000,96,-1,1.9,276,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Ancient Warriors",2001,93,-1,3.8,42,34.5,4.5,4.5,4.5,4.5,4.5,0,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"And Now... Ladies and Gentlemen...",2002,122,-1,5.8,413,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"Andromina: The Pleasure Planet",1999,92,-1,3.4,62,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Angel Eyes",2001,102,3.8e+07,5.6,4829,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Angel Unchained",1970,92,-1,4.7,39,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,0,4.5,"PG-13",1,0,0,1,0,0,0
"Angel's Dance",1999,101,-1,5.8,333,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Angela",2002,91,-1,5.8,79,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Angels & Insects",1995,116,-1,6.9,1357,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,1,0
"Angels in the Attic",1998,86,-1,5.4,73,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,"PG",0,0,0,0,0,0,0
"Anger Management",2003,106,7.5e+07,6,14280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Anglaise et le duc, L'",2001,125,-1,6.8,604,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Angus",1995,90,-1,6.3,1419,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,0,0
"Animal Factory",2000,94,-1,6.5,2118,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Animal Instincts III",1996,96,-1,3.7,99,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Animal Room",1995,98,-1,5.4,70,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,24.5,"R",1,0,0,0,0,0,0
"Animal, The",2001,84,2.2e+07,4.8,5605,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Animatrix: Final Flight of the Osiris, The",2003,11,5e+06,7.6,1536,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",1,1,0,0,0,0,1
"Anna Karenina",1997,108,-1,5.6,706,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,1,0
"Anna and the King",1999,148,7.5e+07,6.6,6739,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,0,1,0,1,0
"Annihilation of Fish, The",1999,108,-1,5.5,47,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,34.5,"R",0,0,0,0,0,1,0
