"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Ball in the House",2001,95,-1,5.8,63,4.5,4.5,0,4.5,14.5,14.5,14.5,14.5,4.5,24.5,"R",0,0,1,1,0,0,0
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,269,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"R",0,0,0,1,0,0,0
"Ballad of Ramblin' Jack, The",2000,112,-1,7.9,108,0,4.5,4.5,0,4.5,4.5,14.5,34.5,24.5,14.5,"PG-13",0,0,0,0,1,0,0
"Ballistic: Ecks vs. Sever",2002,91,7e+07,3.4,4556,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Bamboozled",2000,135,1e+07,6.3,2356,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Bananas",1971,82,2e+06,7.1,4252,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,0,0,0,0
"Bandits",1997,110,-1,6.3,1065,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Bandits",2001,123,8e+07,6.7,12382,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Bandolero!",1968,106,-1,6.3,598,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,0,0,0,0,0
"Banger Sisters, The",2002,98,1e+07,5.6,3189,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Bangkok Dangerous",1999,105,-1,6.5,651,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,4.5,"R",1,0,0,0,0,1,0
"Baptists at Our Barbecue",2004,92,5e+05,5.9,62,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,"PG",0,0,1,0,0,1,0
"Bar Girls",1994,93,-1,5.4,215,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Baran",2001,94,-1,7.8,733,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,1,0
"Barbershop",2002,102,1.2e+07,6.6,4943,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Barbershop 2: Back in Business",2004,106,1.8e+07,5.7,1580,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Bark!",2002,100,-1,4.3,198,14.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Bartleby",2001,83,-1,6.1,434,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,0,0
"Basic",2003,98,5e+07,6.2,8370,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Basic Instinct",1992,128,4.9e+07,6.7,19520,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Basil",1998,113,1e+07,6.1,367,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Basket, The",1999,105,3e+06,6.3,200,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG",0,0,0,1,0,0,0
"Basketball Diaries, The",1995,102,-1,6.6,6280,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Basquiat",1996,108,-1,6.6,3126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Bastard Out of Carolina",1996,97,-1,7.4,805,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Batman & Robin",1997,125,1.1e+08,3.6,28457,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Batman Forever",1995,122,1e+08,5.4,24025,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,1,0
"Battle of Shaker Heights, The",2003,90,1e+06,6,854,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,1,0
"BattleQueen 2020",2001,95,-1,2.9,116,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Battlefield Earth: A Saga of the Year 3000",2000,119,7.3e+07,2.4,14970,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Baxter, The",2005,91,-1,9.1,19,0,0,0,0,0,14.5,14.5,14.5,0,64.5,"PG-13",0,0,1,1,0,1,0
"Be Cool",2005,118,5.3e+07,5.5,4560,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Beach, The",2000,119,5e+07,5.8,15020,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Bean",1997,90,2.2e+07,5.4,9018,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Beat",2000,93,-1,5.3,279,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Beautician and the Beast, The",1997,118,-1,4.9,1213,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,1,0
"Beautiful",2000,112,9e+06,5.3,991,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Beautiful Country, The",2004,137,6e+06,6.9,115,14.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Beautiful Creatures",2000,86,-1,5.8,706,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Beautiful Girls",1996,112,-1,7.1,7452,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,1,1,0,1,0
"Beautiful Joe",2000,98,-1,5.7,524,4.5,4.5,4.5,14.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Beautiful Mind, A",2001,135,6e+07,7.8,43291,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"PG-13",0,0,0,1,0,0,0
"Beautiful People",1999,107,-1,7,906,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,0,0,0,0
"Beautiful Thing",1996,90,-1,7.5,4409,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"R",0,0,0,1,0,1,0
"Beauty Shop",2005,104,-1,4.6,518,24.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Beavis and Butt-Head Do America",1996,81,1.2e+07,6.2,9491,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,1,1,0,0,0,0
"Because of Winn-Dixie",2005,106,1.4e+07,5.9,483,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG",0,0,1,1,0,0,0
"Bed of Roses",1996,87,-1,5.9,2049,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG",0,0,0,1,0,1,0
"Bedazzled",2000,93,4.8e+07,5.9,11439,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Beeper",2002,94,-1,5.3,39,24.5,0,4.5,4.5,14.5,4.5,4.5,14.5,4.5,34.5,"R",0,0,0,0,0,0,0
"Before Night Falls",2000,133,-1,7.2,3608,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Before Sunset",2004,80,1e+07,8.3,8789,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,1,0
"Behind Enemy Lines",2001,106,4e+07,6.1,10856,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Behind the Red Door",2002,105,-1,7,336,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Being Julia",2004,104,1.8e+07,7.2,1671,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Believer, The",2001,98,-1,7.3,3327,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Bella Martha",2001,109,-1,7.4,1585,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG",0,0,1,1,0,1,0
"Belly",1998,96,1e+07,4.5,1034,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Belly of the Beast",2003,91,1.8e+07,4.2,638,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Beloved",1998,172,5.3e+07,5.6,1934,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Below",2002,105,-1,6.3,3175,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Below Utopia",1997,83,-1,4.7,256,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Bend It Like Beckham",2002,115,-1,7.3,14437,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0
"Beneath Loch Ness",2001,96,-1,2.7,233,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Benji: Off the Leash!",2004,97,-1,4.7,93,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"PG",0,0,0,1,0,0,0
"Bent",1997,108,-1,6.8,854,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Beowulf",1999,99,2e+07,3.7,2058,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Bereft",2004,98,-1,6,37,14.5,4.5,4.5,0,14.5,14.5,14.5,4.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Besieged",1998,93,-1,6.7,995,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Best Laid Plans",1999,92,7e+06,6.3,1795,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Best Man in Grass Creek",1999,88,-1,5.7,69,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,1,0,0,1,0
"Best Thief in the World, The",2004,93,-1,2.7,113,14.5,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Best Two Years, The",2003,112,-1,7,174,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,"PG",0,0,1,0,0,0,0
"Best in Show",2000,90,6e+06,7.5,11790,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,14.5,"PG-13",0,0,1,0,0,0,0
"Best of the Best 3: No Turning Back",1995,90,-1,4.4,255,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Best of the Best: Without Warning",1999,90,-1,4.3,96,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Betaville",2001,99,-1,5.2,5,24.5,24.5,24.5,0,0,0,0,0,0,44.5,"PG-13",0,0,1,0,0,0,0
"Better Luck Tomorrow",2002,98,250000,7.3,2697,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Better Than Chocolate",1999,102,-1,6.3,1513,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,1,0
"Better Way to Die, A",2000,97,-1,5.6,458,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Between Strangers",2002,95,-1,6.1,204,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Between the Lies",1997,90,-1,3,20,24.5,14.5,14.5,4.5,14.5,0,14.5,0,14.5,24.5,"R",0,0,0,1,0,0,0
"Beverly Hills Ninja",1997,88,-1,4.7,3468,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Beware: Children at Play",1989,94,-1,3.2,125,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Beyond Bedlam",1993,89,-1,3.3,165,24.5,14.5,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Beyond Borders",2003,127,3.5e+07,5.4,1905,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0
"Beyond Desire",1996,87,-1,4.6,92,14.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Beyond Paradise",1998,105,-1,5,41,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,"PG-13",0,0,0,1,0,0,0
"Beyond Rangoon",1995,100,2.3e+07,6.4,1285,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Beyond Re-Animator",2003,96,3e+06,6.1,908,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Beyond the City Limits",2001,91,-1,4.5,219,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Beyond the Gates of Splendor",2005,96,-1,8.9,15,0,0,0,0,4.5,4.5,4.5,4.5,14.5,64.5,"PG-13",0,0,0,0,1,0,0
"Beyond the Mat",1999,108,5e+05,7.3,2243,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,0,1,0,0
"Beyond the Sea",2004,118,2.4e+07,6.7,1051,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"PG-13",0,0,0,1,0,0,0
"Bhaji on the Beach",1993,100,-1,6.6,275,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Bi xie lan tian",1998,96,-1,5.5,136,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Bicentennial Man",1999,132,1e+08,6.2,8925,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG",0,0,0,1,0,1,0
"Big Ain't Bad",2002,118,-1,5.9,15,0,24.5,0,0,0,4.5,14.5,0,14.5,44.5,"R",0,0,0,0,0,0,0
"Big Bad Love",2001,111,-1,5.6,189,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Big Bounce, The",2004,88,5e+07,4.7,2505,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Big Brass Ring, The",1999,104,7e+06,5.4,271,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Big Bully",1996,90,1.5e+07,4.2,781,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Big Daddy",1999,93,34200000,5.9,18258,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Big Eden",2000,117,-1,7.4,842,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"PG-13",0,0,0,1,0,1,0
"Big Empty, The",2003,94,-1,5.9,696,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Big Fall, The",1996,90,-1,4.1,34,4.5,14.5,4.5,4.5,34.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Big Fat Liar",2002,88,1.5e+07,5.5,2453,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Big Fish",2003,125,7e+07,8.1,31525,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"PG-13",0,0,1,1,0,0,0
"Big Green, The",1995,100,-1,4.6,610,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Big Hit, The",1998,91,1.3e+07,5.7,6206,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"Big Jake",1971,110,-1,6.6,1139,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,0,0,0,0
"Big Kahuna, The",1999,90,-1,6.6,3724,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Big Lebowski, The",1998,117,1.5e+07,8,50179,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"R",0,0,1,0,0,0,0
"Big Momma's House",2000,98,3e+07,4.7,7509,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Big Night",1996,107,-1,7.3,4563,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Big One, The",1997,91,-1,7.5,2395,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,1,0,1,0,0
"Big Red One, The",1980,158,-1,7.1,1838,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Big Squeeze, The",1996,98,-1,4.8,105,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Big Tease, The",1999,86,4e+06,6.1,670,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,"R",0,0,1,0,0,0,0
"Big Time",2004,29,-1,7.8,14,14.5,4.5,0,0,0,0,0,14.5,4.5,45.5,"R",0,0,0,0,0,0,0
"Big Trouble",2002,85,4e+07,6.4,4088,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Bigfoot: The Unforgettable Encounter",1994,88,-1,3.5,67,14.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"Bigger Than the Sky",2005,106,750000,7.3,32,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG-13",0,0,1,1,0,1,0
"Biggie and Tupac",2002,108,-1,6.9,465,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,0,1,0,0
"Bike Squad, The",2002,79,-1,3,44,24.5,24.5,4.5,4.5,4.5,14.5,0,0,4.5,14.5,"PG",0,0,1,0,0,0,0
"Biker Boyz",2003,110,-1,4,1580,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Bikini Bistro",1995,85,-1,2.4,246,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Bikini Drive-In",1995,86,-1,3.7,123,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Bikini Summer III: South Beach Heat",1997,87,-1,3.3,55,34.5,14.5,4.5,4.5,4.5,0,4.5,0,4.5,24.5,"R",0,0,1,0,0,0,0
"Billabong Odyssey",2003,87,-1,5.8,81,0,4.5,0,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG",1,0,0,0,1,0,0
"Billy Elliot",2000,110,5e+06,7.7,16725,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Billy Madison",1995,89,-1,6.1,11626,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Billy's Holiday",1995,92,-1,4.2,68,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
